,fold,NON,Hugin,SIIC,NOPar,NOO,RComplexity,NOS,NOC,HuginCost,SIICCost,complexity,difference
367,3,5,62,16,5,1,702,3,2,7290,136,7290,46
368,4,5,62,15,5,1,1350,3,2,2376,142,7290,47
369,0,20,235,78,5,1,24732864,3,2,259199676,7526,29160,157
370,1,20,234,78,5,1,40105206,3,2,161969220,8552,29160,156
371,4,20,344,47,5,1,45547920,3,2,1525814496,7610,29160,297
372,0,5,63,16,2,1,3968,4,2,17280,261,720,47
373,1,5,63,16,2,1,3520,4,2,6272,221,720,47
374,2,5,62,16,2,1,5248,4,2,16000,278,720,46
375,3,5,63,16,2,1,4032,4,2,24640,281,720,47
376,4,5,63,31,2,1,928,4,2,2144,145,720,32
377,3,20,2922,47,2,1,829942400,4,2,345330054272,1470,2880,2875
378,4,20,515,47,2,1,121039552,4,2,4709141760,1486,2880,468
379,0,5,62,16,3,1,3456,4,2,12864,309,2880,46
380,1,5,62,16,3,1,4480,4,2,12032,394,2880,46
381,2,5,62,15,3,1,1856,4,2,8064,273,2880,47
382,3,5,62,15,3,1,7296,4,2,56576,417,2880,47
383,4,5,62,16,3,1,3904,4,2,7680,429,2880,46
384,3,20,296,47,3,1,53131776,4,2,1387458048,3681,11520,249
385,4,20,296,31,3,1,63316736,4,2,520598272,3605,11520,265
386,0,5,62,15,5,1,1088,4,2,10048,229,46080,47
387,1,5,62,15,5,1,3072,4,2,53248,377,46080,47
388,2,5,62,15,5,1,5632,4,2,7936,369,46080,47
389,3,5,63,16,5,1,4736,4,2,16384,429,46080,47
390,4,5,63,16,5,1,4864,4,2,67456,245,46080,47
391,0,20,2577,1453,5,1,477565952,4,2,10274493440,29397,184320,1124
392,1,20,4515,297,5,1,391706624,4,2,1896002560,27369,184320,4218
393,2,20,10170,312,5,1,1189428224,4,2,5331549184,28737,184320,9858
394,3,20,6842,2203,5,1,1265541120,4,2,5887893504,36549,184320,4639
395,0,5,63,15,2,2,360,2,2,640,117,100,48
396,1,5,78,15,2,2,368,2,2,944,121,100,63
397,2,5,62,16,2,2,560,2,2,3456,127,100,46
398,3,5,63,16,2,2,608,2,2,1056,119,100,47
399,4,5,62,16,2,2,368,2,2,528,128,100,46
400,1,20,110,94,2,2,277024,2,2,15824384,618,400,16
401,3,20,78,109,2,2,397568,2,2,289632,585,400,-31
402,0,5,78,15,3,2,656,2,2,5584,136,200,63
403,1,5,63,16,3,2,512,2,2,1024,139,200,47
404,2,5,63,16,3,2,720,2,2,1632,118,200,47
405,3,5,62,16,3,2,384,2,2,496,132,200,46
406,4,5,62,15,3,2,320,2,2,24832,139,200,47
407,3,20,109,62,3,2,496000,2,2,17324416,929,800,47
408,0,50,59027,768,3,2,3452209200,2,2,34644586416,2386,2000,58259
409,0,5,62,15,5,2,704,2,2,2112,143,800,47
410,1,5,78,31,5,2,496,2,2,2336,127,800,47
411,2,5,63,31,5,2,624,2,2,2528,141,800,32
412,3,5,63,16,5,2,640,2,2,1728,129,800,47
413,4,5,63,15,5,2,384,2,2,432,129,800,48
414,0,20,93,47,5,2,262080,2,2,685760,2117,3200,46
415,1,20,109,62,5,2,598720,2,2,3411648,2200,3200,47
416,2,20,110,47,5,2,349632,2,2,2039744,2193,3200,63
417,4,20,94,47,5,2,1336768,2,2,4417408,2225,3200,47
418,0,5,62,16,2,2,4266,3,2,38826,280,450,46
419,1,5,62,15,2,2,3402,3,2,28998,300,450,47
420,2,5,62,16,2,2,2592,3,2,1064988,404,450,46
421,3,5,62,15,2,2,2214,3,2,13230,274,450,47
422,4,5,62,16,2,2,3672,3,2,119826,284,450,46
423,0,20,968,94,2,2,275671998,3,2,941225184,1358,1800,874
424,3,20,125,110,2,2,5546340,3,2,533551158,1286,1800,15
425,0,5,63,15,3,2,3942,3,2,891324,400,1350,48
426,1,5,62,16,3,2,2106,3,2,9018,274,1350,46
427,2,5,62,16,3,2,14148,3,2,295326,628,1350,46
428,3,5,62,15,3,2,2646,3,2,53514,274,1350,47
429,4,5,62,16,3,2,7776,3,2,257094,388,1350,46
430,1,20,203,62,3,2,32804352,3,2,107622594,3010,5400,141
431,2,20,109,78,3,2,7156998,3,2,52665714,2584,5400,31
432,3,20,297,62,3,2,69077448,3,2,42075669996,3116,5400,235
433,0,5,62,16,5,2,4644,3,2,33804,558,12150,46
434,1,5,78,15,5,2,2376,3,2,20844,454,12150,63
435,2,5,63,15,5,2,4644,3,2,120690,454,12150,48
436,3,5,62,16,5,2,3294,3,2,6804,520,12150,46
437,4,5,62,15,5,2,2646,3,2,9666,454,12150,47
438,2,20,250,125,5,2,30289950,3,2,292135086,10436,48600,125
439,3,20,360,63,5,2,57792204,3,2,5990279022,10994,48600,297
440,0,5,63,16,2,2,11008,4,2,343808,641,1200,47
441,1,5,78,16,2,2,3392,4,2,9728,441,1200,62
442,2,5,62,31,2,2,16768,4,2,990848,782,1200,31
443,3,5,62,16,2,2,14208,4,2,5410560,1029,1200,46
444,4,5,63,32,2,2,3904,4,2,9344,357,1200,31
445,4,20,203,109,2,2,36088064,4,2,1752873216,2665,4800,94
446,0,5,62,47,3,2,129024,4,2,12820480,17709,4800,15
447,1,5,63,16,3,2,89728,4,2,21240768,2670,4800,47
448,2,5,62,31,3,2,8192,4,2,91904,809,4800,31
