,,,,,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Avg_Hugin,Avg_SIIC,Avg_HuginCost,Avg_SIICCost,Avg_complexity,Avg_difference
,,,,,fold,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,,,,,,
NOS,NOPar,NON,NOC,NOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,5,1,2,0.0,14.0,8.0,140.0,164.0,120.0,6.0,1.0,13.0,9.0,208.0,272.0,120.0,4.0,2.0,14.0,10.0,400.0,400.0,120.0,4.0,3.0,15.0,8.0,144.0,184.0,120.0,7.0,4.0,13.0,9.0,232.0,320.0,120.0,4.0,0.8366600265340756,0.8366600265340756,105.76956083864582,97.48846085563153,0.0,1.4142135623730951
2,3,5,1,3,0.0,14.0,8.0,528.0,976.0,160.0,6.0,1.0,14.0,12.0,552.0,1440.0,160.0,2.0,2.0,18.0,10.0,296.0,552.0,160.0,8.0,3.0,14.0,9.0,264.0,360.0,160.0,5.0,4.0,13.0,7.0,592.0,2112.0,160.0,6.0,1.9493588689617927,1.9235384061671346,154.02856877865224,707.5139574594978,0.0,2.1908902300206643
2,3,5,2,1,0.0,19.0,13.0,200.0,672.0,120.0,6.0,1.0,19.0,13.0,224.0,344.0,120.0,6.0,2.0,18.0,10.0,216.0,408.0,120.0,8.0,3.0,20.0,11.0,288.0,416.0,120.0,9.0,4.0,18.0,12.0,208.0,464.0,120.0,6.0,0.8366600265340756,1.3038404810405297,35.14541221838207,125.5515830246676,0.0,1.4142135623730951
2,3,5,2,2,0.0,19.0,15.0,656.0,5584.0,200.0,4.0,1.0,18.0,13.0,512.0,1024.0,200.0,5.0,2.0,18.0,12.0,720.0,1632.0,200.0,6.0,3.0,19.0,11.0,384.0,496.0,200.0,8.0,4.0,17.0,12.0,320.0,24832.0,200.0,5.0,0.8366600265340756,1.51657508881031,171.05788493957243,10324.790206101043,0.0,1.51657508881031
2,3,5,2,3,,,,,,,,1.0,21.0,14.0,1600.0,6272.0,280.0,7.0,2.0,19.0,11.0,5168.0,203280.0,280.0,8.0,3.0,18.0,12.0,2640.0,167520.0,280.0,6.0,4.0,18.0,14.0,1312.0,8040.0,280.0,4.0,1.4142135623730951,1.5,1754.0019004170624,103942.09164722441,0.0,1.707825127659933
2,3,5,3,1,0.0,22.0,14.0,312.0,520.0,160.0,8.0,1.0,23.0,11.0,424.0,1168.0,160.0,12.0,2.0,24.0,14.0,488.0,1272.0,160.0,10.0,3.0,22.0,14.0,384.0,768.0,160.0,8.0,4.0,23.0,17.0,440.0,1360.0,160.0,6.0,0.8366600265340756,2.1213203435596424,66.06663303060026,358.63742136034824,0.0,2.2803508501982757
2,3,5,3,2,0.0,25.0,12.0,2192.0,110928.0,280.0,13.0,1.0,24.0,15.0,992.0,3280.0,280.0,9.0,,,,,,,,3.0,24.0,16.0,1248.0,14592.0,280.0,8.0,4.0,25.0,17.0,880.0,9856.0,280.0,8.0,0.5773502691896257,2.160246899469287,596.23708930816,51053.81213321228,0.0,2.3804761428476167
2,3,5,3,3,0.0,24.0,15.0,2168.0,305632.0,400.0,9.0,1.0,23.0,16.0,3888.0,1278464.0,400.0,7.0,2.0,23.0,18.0,3208.0,156032.0,400.0,5.0,3.0,23.0,16.0,13552.0,459808.0,400.0,7.0,4.0,24.0,24.0,2784.0,28552.0,400.0,0.0,0.5477225575051661,3.63318042491699,4755.086539696202,492756.01571244164,0.0,3.4351128074635335
2,3,20,0,0,0.0,12.0,7.0,4512.0,4512.0,160.0,5.0,1.0,9.0,3.0,3712.0,3712.0,160.0,6.0,2.0,11.0,3.0,2016.0,2016.0,160.0,8.0,3.0,11.0,3.0,4096.0,4096.0,160.0,8.0,4.0,7.0,6.0,5168.0,5168.0,160.0,1.0,2.0,1.9493588689617927,1183.805389411621,1183.805389411621,0.0,2.8809720581775866
2,3,20,1,1,0.0,15.0,13.0,11608.0,29752.0,320.0,2.0,1.0,16.0,8.0,18784.0,37824.0,320.0,8.0,2.0,15.0,12.0,15424.0,90528.0,320.0,3.0,3.0,17.0,12.0,9776.0,14128.0,320.0,5.0,,,,,,,,0.9574271077563381,2.217355782608345,4018.1528094386854,33140.05729224579,0.0,2.6457513110645907
2,3,20,1,2,0.0,17.0,20.0,15328.0,35696.0,480.0,-3.0,1.0,18.0,14.0,123488.0,862976.0,480.0,4.0,2.0,18.0,15.0,74144.0,153664.0,480.0,3.0,3.0,19.0,17.0,40880.0,143664.0,480.0,2.0,,,,,,,,0.816496580927726,2.6457513110645907,46704.940723653635,379758.5859393658,0.0,3.1091263510296048
2,3,20,1,3,,,,,,,,,,,,,,,2.0,18.0,17.0,90912.0,390224.0,640.0,1.0,,,,,,,,,,,,,,,,,,,,
2,3,20,2,1,0.0,22.0,17.0,53952.0,138144.0,480.0,5.0,,,,,,,,2.0,19.0,20.0,50320.0,342480.0,480.0,-1.0,,,,,,,,4.0,18.0,17.0,74576.0,222576.0,480.0,1.0,2.081665999466133,1.7320508075688772,13082.394887787175,102679.8687961764,0.0,3.055050463303893
2,3,20,2,2,,,,,,,,,,,,,,,,,,,,,,3.0,23.0,31.0,496000.0,17324416.0,800.0,-8.0,,,,,,,,,,,,,
2,3,20,2,3,,,,,,,,,,,,,,,2.0,30.0,81.0,749632.0,47472768.0,1120.0,-51.0,,,,,,,,,,,,,,,,,,,,
2,3,20,3,1,0.0,28.0,28.0,81704.0,851312.0,640.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,20,3,2,0.0,29.0,90.0,133920.0,1034752.0,1120.0,-61.0,1.0,30.0,80.0,553120.0,40137504.0,1120.0,-50.0,2.0,32.0,71.0,782240.0,1125017952.0,1120.0,-39.0,,,,,,,,,,,,,,,1.5275252316519465,9.50438495292217,328771.30775053956,637943681.6246523,0.0,11.0
2,3,20,3,3,0.0,30.0,215.0,474112.0,119956192.0,1600.0,-185.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
