,,,,,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Average,Average,Average,Average,Average,Average,STD,STD,STD,STD,STD,STD
,,,,,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,Hugin,SIIC,HuginCost,SIICCost,complexity,difference,Hugin,SIIC,HuginCost,SIICCost,complexity,difference
NOS,NOPar,NON,NOC,NOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,5,3,3,24,15,2168,305632,400,9,23,16,3888,1278464,400,7,23,18,3208,156032,400,5,23,16,13552,459808,400,7,24,24,2784,28552,400,0,23.4,17.8,5120,445697.6,400,5.6,0.547722558,3.633180425,4755.08654,492756.0157,0,3.435112807
2,3,20,0,0,12,7,4512,4512,160,5,9,3,3712,3712,160,6,11,3,2016,2016,160,8,11,3,4096,4096,160,8,7,6,5168,5168,160,1,10,4.4,3900.8,3900.8,160,5.6,2,1.949358869,1183.805389,1183.805389,0,2.880972058
2,3,20,1,1,15,13,11608,29752,320,2,16,8,18784,37824,320,8,15,12,15424,90528,320,3,17,12,9776,14128,320,5,,,,,,,15.75,11.25,13898,43058,320,4.5,0.957427108,2.217355783,4018.152809,33140.05729,0,2.645751311
2,3,20,1,2,17,20,15328,35696,480,-3,18,14,123488,862976,480,4,18,15,74144,153664,480,3,19,17,40880,143664,480,2,,,,,,,18,16.5,63460,299000,480,1.5,0.816496581,2.645751311,46704.94072,379758.5859,0,3.109126351
2,3,20,1,3,,,,,,,,,,,,,18,17,90912,390224,640,1,,,,,,,,,,,,,18,17,90912,390224,640,1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
2,3,20,2,1,22,17,53952,138144,480,5,,,,,,,19,20,50320,342480,480,-1,,,,,,,18,17,74576,222576,480,1,19.66666667,18,59616,234400,480,1.666666667,2.081665999,1.732050808,13082.39489,102679.8688,0,3.055050463
2,3,20,2,2,,,,,,,,,,,,,,,,,,,23,31,496000,17324416,800,-8,,,,,,,23,31,496000,17324416,800,-8,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
2,3,20,2,3,,,,,,,,,,,,,30,81,749632,47472768,1120,-51,,,,,,,,,,,,,30,81,749632,47472768,1120,-51,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
2,3,20,3,1,28,28,81704,851312,640,0,,,,,,,,,,,,,,,,,,,,,,,,,28,28,81704,851312,640,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
2,3,20,3,2,29,90,133920,1034752,1120,-61,30,80,553120,40137504,1120,-50,32,71,782240,1125017952,1120,-39,,,,,,,,,,,,,30.33333333,80.33333333,489760,388730069.3,1120,-50,1.527525232,9.504384953,328771.3078,637943681.6,0,11
2,3,20,3,3,30,215,474112,119956192,1600,-185,,,,,,,,,,,,,,,,,,,,,,,,,30,215,474112,119956192,1600,-185,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
2,3,50,0,0,63,67,11855136,11855136,400,-4,24,22,2032892,2032892,400,2,78,83,12577520,11600624,400,-5,31,30,3868872,3868872,400,1,34,39,3446416,4954128,400,-5,46,48.2,6756167.2,6862330.4,400,-2.2,23.27015256,25.82053446,5037059.818,4563579.704,0,3.420526275
