,,,,,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5
,,,,,fold,Hugin,SIIC,RComplexity,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,RComplexity,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,RComplexity,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,RComplexity,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,RComplexity,HuginCost,SIICCost,complexity,difference
NOS,NOPar,NON,NOC,NOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,5,0,0,0.0,46.0,16.0,320.0,320.0,118.0,15360.0,30.0,1.0,47.0,15.0,320.0,320.0,121.0,15360.0,32.0,2.0,47.0,16.0,512.0,512.0,157.0,15360.0,31.0,3.0,47.0,0.0,0.0,0.0,346.0,15360.0,47.0,4.0,47.0,0.0,208.0,208.0,49.0,15360.0,47.0
4,5,5,1,1,0.0,62.0,16.0,1936.0,2240.0,141.0,30720.0,46.0,1.0,47.0,0.0,1280.0,6720.0,157.0,30720.0,47.0,2.0,47.0,15.0,5376.0,10240.0,373.0,30720.0,32.0,3.0,47.0,16.0,1216.0,1472.0,126.0,30720.0,31.0,4.0,47.0,15.0,768.0,1984.0,117.0,30720.0,32.0
4,5,5,1,2,0.0,63.0,16.0,19264.0,53504.0,337.0,46080.0,47.0,1.0,47.0,0.0,20224.0,220160.0,598.0,46080.0,47.0,2.0,47.0,0.0,9856.0,22656.0,389.0,46080.0,47.0,3.0,47.0,15.0,7296.0,13312.0,442.0,46080.0,32.0,4.0,47.0,16.0,24832.0,205056.0,469.0,46080.0,31.0
4,5,5,1,3,0.0,47.0,16.0,151296.0,268444416.0,5530.0,61440.0,31.0,1.0,63.0,16.0,3584.0,5056.0,370.0,61440.0,47.0,2.0,62.0,16.0,5568.0,9024.0,385.0,61440.0,46.0,3.0,47.0,16.0,4032.0,77056.0,541.0,61440.0,31.0,4.0,62.0,0.0,6912.0,84224.0,382.0,61440.0,62.0
4,5,5,2,1,0.0,62.0,15.0,1088.0,10048.0,229.0,46080.0,47.0,1.0,62.0,15.0,3072.0,53248.0,377.0,46080.0,47.0,2.0,62.0,15.0,5632.0,7936.0,369.0,46080.0,47.0,3.0,63.0,16.0,4736.0,16384.0,429.0,46080.0,47.0,4.0,63.0,16.0,4864.0,67456.0,245.0,46080.0,47.0
4,5,5,2,2,0.0,62.0,16.0,46208.0,324416.0,1854.0,76800.0,46.0,1.0,63.0,16.0,18688.0,1059328.0,581.0,76800.0,47.0,2.0,63.0,16.0,13312.0,368640.0,933.0,76800.0,47.0,3.0,62.0,31.0,11264.0,101632.0,1137.0,76800.0,31.0,4.0,63.0,16.0,22144.0,263424.0,1471.0,76800.0,47.0
4,5,5,2,3,0.0,63.0,15.0,29376.0,381120.0,3271.0,107520.0,48.0,1.0,62.0,32.0,74688.0,1621236224.0,3025.0,107520.0,30.0,2.0,62.0,32.0,24192.0,7344896.0,1237.0,107520.0,30.0,3.0,62.0,31.0,123584.0,471871936.0,3478.0,107520.0,31.0,4.0,63.0,15.0,40896.0,670912.0,2050.0,107520.0,48.0
4,5,5,3,1,,,,,,,,,1.0,62.0,16.0,5504.0,22336.0,362.0,61440.0,46.0,2.0,78.0,16.0,8384.0,26368.0,530.0,61440.0,62.0,3.0,78.0,16.0,3648.0,27072.0,349.0,61440.0,62.0,4.0,63.0,15.0,17600.0,244736.0,1533.0,61440.0,48.0
4,5,5,3,2,0.0,62.0,47.0,361472.0,1019254784.0,12869.0,107520.0,15.0,1.0,62.0,16.0,28672.0,138240.0,1169.0,107520.0,46.0,2.0,63.0,16.0,59904.0,402659072.0,3742.0,107520.0,47.0,3.0,63.0,16.0,78080.0,37755264.0,1933.0,107520.0,47.0,4.0,62.0,15.0,30208.0,101198080.0,2037.0,107520.0,47.0
4,5,20,0,0,0.0,1047.0,1156.0,225185792.0,225185792.0,8935.0,61440.0,-109.0,1.0,125.0,109.0,12065792.0,12065792.0,6253.0,61440.0,16.0,2.0,171.0,172.0,20606976.0,20606976.0,8365.0,61440.0,-1.0,3.0,79.0,47.0,5402624.0,5402624.0,6697.0,61440.0,32.0,4.0,2968.0,3312.0,346165248.0,346165248.0,7213.0,61440.0,-344.0
4,5,20,1,1,0.0,4608.0,640.0,414422016.0,17671721984.0,21013.0,122880.0,3968.0,,,,,,,,,,,,,,,,,3.0,1328.0,281.0,201523200.0,792084480.0,20857.0,122880.0,1047.0,4.0,12497.0,1016.0,1874235392.0,17343451136.0,19210.0,122880.0,11481.0
4,5,20,1,2,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3718.0,546.0,660611072.0,14855053312.0,40109.0,184320.0,3172.0,,,,,,,,
4,5,20,1,3,0.0,308723.0,893275.0,3488298240.0,13980857600.0,36982.0,245760.0,-584552.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,20,2,1,0.0,2577.0,1453.0,477565952.0,10274493440.0,29397.0,184320.0,1124.0,1.0,4515.0,297.0,391706624.0,1896002560.0,27369.0,184320.0,4218.0,2.0,10170.0,312.0,1189428224.0,5331549184.0,28737.0,184320.0,9858.0,3.0,6842.0,2203.0,1265541120.0,5887893504.0,36549.0,184320.0,4639.0,,,,,,,,
4,5,20,2,2,,,,,,,,,,,,,,,,,2.0,8279.0,1000.0,804665600.0,1549334784.0,43610.0,307200.0,7279.0,3.0,12419.0,1125.0,1848449024.0,60748240896.0,40374.0,307200.0,11294.0,4.0,2031.0,297.0,381816832.0,3596505088.0,65481.0,307200.0,1734.0
4,5,20,2,3,,,,,,,,,1.0,10310.0,344.0,1969266688.0,2204199317504.0,68989.0,430080.0,9966.0,,,,,,,,,,,,,,,,,,,,,,,,
4,5,20,3,1,,,,,,,,,,,,,,,,,2.0,4738.0,141.0,895205376.0,9463549952.0,44947.0,245760.0,4597.0,3.0,7686.0,203.0,772542464.0,16692441088.0,38102.0,245760.0,7483.0,4.0,9498.0,2437.0,1272291328.0,287194390528.0,41593.0,245760.0,7061.0
