,,,,,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5
,,,,,fold,Hugin,SIIC,RComplexity,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,RComplexity,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,RComplexity,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,RComplexity,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,RComplexity,HuginCost,SIICCost,complexity,difference
NOS,NOPar,NON,NOC,NOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,50,1,1,0.0,1047.0,93.0,215493888.0,296937344.0,979.0,800.0,954.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,50,1,2,0.0,469.0,203.0,63857776.0,560028560.0,1431.0,1200.0,266.0,,,,,,,,,2.0,453.0,172.0,81345136.0,381893616.0,1367.0,1200.0,281.0,,,,,,,,,,,,,,,,
2,3,50,2,2,0.0,59027.0,768.0,3452209200.0,34644586416.0,2386.0,2000.0,58259.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,5,0,0,0.0,47.0,0.0,32.0,32.0,27.0,160.0,47.0,1.0,46.0,0.0,24.0,24.0,27.0,160.0,46.0,2.0,63.0,16.0,16.0,16.0,22.0,160.0,47.0,3.0,63.0,15.0,20.0,20.0,27.0,160.0,48.0,4.0,47.0,0.0,28.0,28.0,22.0,160.0,47.0
2,5,5,1,1,0.0,62.0,0.0,192.0,176.0,70.0,320.0,62.0,1.0,62.0,0.0,144.0,160.0,56.0,320.0,62.0,2.0,62.0,16.0,128.0,168.0,57.0,320.0,46.0,3.0,47.0,0.0,176.0,192.0,64.0,320.0,47.0,4.0,63.0,16.0,112.0,304.0,41.0,320.0,47.0
2,5,5,1,2,0.0,62.0,16.0,184.0,720.0,83.0,480.0,46.0,1.0,62.0,16.0,336.0,448.0,76.0,480.0,46.0,2.0,47.0,0.0,208.0,240.0,89.0,480.0,47.0,3.0,62.0,16.0,144.0,152.0,72.0,480.0,46.0,4.0,63.0,0.0,168.0,488.0,60.0,480.0,63.0
2,5,5,1,3,0.0,47.0,0.0,624.0,4416.0,151.0,640.0,47.0,1.0,78.0,16.0,416.0,640.0,81.0,640.0,62.0,2.0,62.0,15.0,400.0,416.0,141.0,640.0,47.0,3.0,62.0,15.0,688.0,1056.0,117.0,640.0,47.0,4.0,47.0,15.0,528.0,592.0,110.0,640.0,32.0
2,5,5,2,1,0.0,63.0,16.0,200.0,216.0,81.0,480.0,47.0,1.0,63.0,16.0,216.0,440.0,82.0,480.0,47.0,2.0,78.0,15.0,224.0,280.0,78.0,480.0,63.0,3.0,63.0,16.0,168.0,168.0,85.0,480.0,47.0,4.0,62.0,15.0,240.0,352.0,85.0,480.0,47.0
2,5,5,2,2,0.0,62.0,15.0,704.0,2112.0,143.0,800.0,47.0,1.0,78.0,31.0,496.0,2336.0,127.0,800.0,47.0,2.0,63.0,31.0,624.0,2528.0,141.0,800.0,32.0,3.0,63.0,16.0,640.0,1728.0,129.0,800.0,47.0,4.0,63.0,15.0,384.0,432.0,129.0,800.0,48.0
2,5,5,2,3,0.0,78.0,31.0,1984.0,29568.0,228.0,1120.0,47.0,1.0,62.0,31.0,2624.0,664336.0,505.0,1120.0,31.0,2.0,62.0,15.0,2256.0,119488.0,251.0,1120.0,47.0,3.0,63.0,16.0,640.0,7440.0,209.0,1120.0,47.0,4.0,62.0,16.0,2304.0,27584.0,256.0,1120.0,46.0
