,,,,,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Avg_Hugin,Avg_SIIC,Avg_HuginCost,Avg_SIICCost,Avg_complexity,Avg_RComplexity,Avg_difference,STD_Hugin,STD_SIIC,STD_HuginCost,STD_SIICCost,STD_complexity,STD_RComplexity,STD_difference
,,,,,fold,Hugin,SIIC,RComplexity,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,RComplexity,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,RComplexity,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,RComplexity,HuginCost,SIICCost,complexity,difference,fold,Hugin,SIIC,RComplexity,HuginCost,SIICCost,complexity,difference,,,,,,,,,,,,,,
NOS,NOPar,NON,NOC,NOO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,20,3,3,,,,,,,,,,,,,,,,,2.0,250.0,500.0,41531088.0,347986529336.0,1350.0,800.0,-250.0,,,,,,,,,,,,,,,,,250.0,500.0,347986529336.0,1350.0,800.0,41531088.0,-250.0,,,,,,,
2,2,50,0,0,0.0,85.0,31.0,21296.0,21296.0,289.0,200.0,54.0,1.0,100.0,47.0,40340.0,40340.0,286.0,200.0,53.0,2.0,97.0,32.0,36344.0,36344.0,291.0,200.0,65.0,3.0,109.0,47.0,156120.0,108248.0,285.0,200.0,62.0,4.0,110.0,31.0,109100.0,109100.0,291.0,200.0,79.0,100.2,37.6,63065.6,288.4,200.0,72640.0,62.6,10.183319694480774,8.590692637965812,42236.866417858226,2.792848008753788,0.0,57652.272184190624,10.502380682492898
2,2,50,1,1,0.0,750.0,78.0,160307400.0,87355896.0,618.0,400.0,672.0,1.0,188.0,109.0,5108816.0,24585360.0,614.0,400.0,79.0,,,,,,,,,,,,,,,,,,,,,,,,,469.0,93.5,55970628.0,616.0,400.0,82708108.0,375.5,397.39401102683973,21.920310216782973,44385471.66431431,2.8284271247461903,0.0,109741971.17695002,419.31432124362266
2,2,50,1,2,0.0,219.0,219.0,17020784.0,162366464.0,905.0,600.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219.0,219.0,162366464.0,905.0,600.0,17020784.0,0.0,,,,,,,
2,2,50,2,1,,,,,,,,,,,,,,,,,2.0,4639.0,250.0,1318162352.0,949363776.0,934.0,600.0,4389.0,,,,,,,,,,,,,,,,,4639.0,250.0,949363776.0,934.0,600.0,1318162352.0,4389.0,,,,,,,
2,3,5,0,0,0.0,47.0,0.0,32.0,32.0,27.0,40.0,47.0,1.0,46.0,16.0,32.0,32.0,23.0,40.0,30.0,2.0,47.0,0.0,20.0,20.0,21.0,40.0,47.0,3.0,47.0,0.0,32.0,32.0,23.0,40.0,47.0,4.0,47.0,0.0,24.0,24.0,25.0,40.0,47.0,46.8,3.2,28.0,23.8,40.0,28.0,43.6,0.4472135954999579,7.155417527999329,5.656854249492381,2.2803508501982757,0.0,5.656854249492381,7.602631123499286
2,3,5,1,1,0.0,62.0,16.0,112.0,288.0,49.0,80.0,46.0,1.0,62.0,0.0,112.0,104.0,55.0,80.0,62.0,2.0,47.0,15.0,152.0,200.0,57.0,80.0,32.0,3.0,46.0,16.0,176.0,272.0,47.0,80.0,30.0,4.0,62.0,0.0,120.0,144.0,42.0,80.0,62.0,55.8,9.4,201.6,50.0,80.0,134.4,46.4,8.497058314499201,8.590692637965812,79.47829892492668,6.082762530298219,0.0,28.50964748992874,15.517731793016658
2,3,5,1,2,0.0,62.0,15.0,140.0,164.0,67.0,120.0,47.0,1.0,62.0,0.0,208.0,272.0,79.0,120.0,62.0,2.0,63.0,16.0,400.0,400.0,83.0,120.0,47.0,3.0,62.0,16.0,144.0,184.0,77.0,120.0,46.0,4.0,62.0,15.0,232.0,320.0,83.0,120.0,47.0,62.2,12.4,268.0,77.8,120.0,224.8,49.8,0.4472135954999579,6.9498201415576215,97.48846085563153,6.572670690061993,0.0,105.76956083864582,6.833739825307954
2,3,5,1,3,0.0,63.0,16.0,528.0,976.0,111.0,160.0,47.0,1.0,63.0,16.0,552.0,1440.0,99.0,160.0,47.0,2.0,63.0,16.0,296.0,552.0,105.0,160.0,47.0,3.0,47.0,0.0,264.0,360.0,109.0,160.0,47.0,4.0,62.0,15.0,592.0,2112.0,110.0,160.0,47.0,59.6,12.6,1088.0,106.8,160.0,446.4,47.0,7.05691150575094,7.05691150575094,707.5139574594978,4.919349550499538,0.0,154.02856877865224,0.0
2,3,5,2,1,0.0,63.0,31.0,200.0,672.0,73.0,120.0,32.0,1.0,78.0,16.0,224.0,344.0,74.0,120.0,62.0,2.0,63.0,16.0,216.0,408.0,80.0,120.0,47.0,3.0,78.0,16.0,288.0,416.0,70.0,120.0,62.0,4.0,62.0,16.0,208.0,464.0,81.0,120.0,46.0,68.8,19.0,460.8,75.6,120.0,227.2,49.8,8.408329203831164,6.708203932499369,125.5515830246676,4.722287581247038,0.0,35.14541221838207,12.617448236470002
2,3,5,2,2,0.0,78.0,15.0,656.0,5584.0,136.0,200.0,63.0,1.0,63.0,16.0,512.0,1024.0,139.0,200.0,47.0,2.0,63.0,16.0,720.0,1632.0,118.0,200.0,47.0,3.0,62.0,16.0,384.0,496.0,132.0,200.0,46.0,4.0,62.0,15.0,320.0,24832.0,139.0,200.0,47.0,65.6,15.6,6713.6,132.8,200.0,518.4,50.0,6.949820141557621,0.5477225575051661,10324.790206101043,8.757853618324527,0.0,171.05788493957243,7.280109889280518
2,3,5,2,3,,,,,,,,,1.0,63.0,16.0,1600.0,6272.0,225.0,280.0,47.0,2.0,78.0,31.0,5168.0,203280.0,280.0,280.0,47.0,3.0,63.0,31.0,2640.0,167520.0,306.0,280.0,32.0,4.0,62.0,31.0,1312.0,8040.0,189.0,280.0,31.0,66.5,27.25,96278.0,250.0,280.0,2680.0,39.25,7.681145747868608,7.5,103942.09164722441,52.85830114561004,0.0,1754.0019004170624,8.958236433584458
