Fold   	 NumOfNodes     NumOfAvgPar 	 NumOfStates 	 NumOfClass 	   NumOfObj 	     Hugin-JTCost 	       SIIC-JTCost   	  Hugin   	     SIIC
2		5		5		2		3		1		304		1088		23		13
3		5		5		2		3		1		280		416		26		13
4		5		5		2		3		1		320		2296		23		10
0		5		5		2		3		2		704		1536		22		12
1		5		5		2		3		2		896		2400		22		12
2		5		5		2		3		2		2784		10336		23		13
3		5		5		2		3		2		1088		3488		22		15
4		5		5		2		3		2		672		7528		23		11
0		5		5		2		3		3		1816		25552		25		19
1		5		5		2		3		3		2008		642488		25		15
2		5		5		2		3		3		10136		331216		23		19
3		5		5		2		3		3		2184		25464		23		18
4		5		5		2		3		3		2464		591264		25		17
0		5		2		3		0		0		108		108		9		2
1		5		2		3		0		0		108		108		9		2
2		5		2		3		0		0		90		90		10		2
3		5		2		3		0		0		90		90		9		2
4		5		2		3		0		0		108		108		6		2
0		5		2		3		1		1		324		378		15		8
1		5		2		3		1		1		486		540		14		6
2		5		2		3		1		1		648		810		13		9
3		5		2		3		1		1		324		918		14		8
4		5		2		3		1		1		360		360		16		9
0		5		2		3		1		2		3888		14580		14		8
1		5		2		3		1		2		594		702		13		9
2		5		2		3		1		2		3240		8100		14		8
3		5		2		3		1		2		2430		178848		14		9
4		5		2		3		1		2		702		756		14		6
0		5		2		3		1		3		756		1998		13		6
1		5		2		3		1		3		1242		4158		13		9
2		5		2		3		1		3		810		972		12		7
3		5		2		3		1		3		4860		4050		13		8
4		5		2		3		1		3		1944		29160		15		9
0		5		2		3		2		1		1188		9504		17		11
1		5		2		3		2		1		1296		7506		17		12
2		5		2		3		2		1		756		1566		21		9
3		5		2		3		2		1		1188		3240		16		9
4		5		2		3		2		1		1080		2754		16		12
0		5		2		3		2		2		4266		38826		18		10
1		5		2		3		2		2		3402		28998		18		10
2		5		2		3		2		2		2592		1064988		17		13
3		5		2		3		2		2		2214		13230		17		12
4		5		2		3		2		2		3672		119826		18		12
0		5		2		3		2		3		6318		1359504		18		14
1		5		2		3		2		3		9396		1282392		18		14
2		5		2		3		2		3		325620		-1539971806		20		18
3		5		2		3		2		3		19926		10099296		19		14
4		5		2		3		2		3		14256		10100214		19		13
0		5		2		3		3		1		6426		67878		23		18
1		5		2		3		3		1		1620		11880		22		13
2		5		2		3		3		1		1566		3942		22		16
3		5		2		3		3		1		1242		10044		24		15
4		5		2		3		3		1		1836		24030		23		18
0		5		2		3		3		2		6912		3196800		22		11
1		5		2		3		3		2		12744		324108		23		17
2		5		2		3		3		2		3942		14364		25		18
3		5		2		3		3		2		5184		421686		26		16
4		5		2		3		3		2		5508		913464		23		14
0		5		2		3		3		3		93798		709048792		27		34
1		5		2		3		3		3		173502		-1579122994		25		19
2		5		2		3		3		3		611874		860956074		28		53
3		5		2		3		3		3		31104		1595872012		22		18
4		5		2		3		3		3		22518		38326986		23		20
0		5		3		3		0		0		108		108		6		2
1		5		3		3		0		0		90		90		6		2
2		5		3		3		0		0		108		108		7		2
3		5		3		3		0		0		108		108		9		2
4		5		3		3		0		0		108		108		6		3
0		5		3		3		1		1		648		1188		17		8
1		5		3		3		1		1		810		810		13		8
2		5		3		3		1		1		594		810		13		5
3		5		3		3		1		1		810		1458		13		7
4		5		3		3		1		1		324		594		13		9
0		5		3		3		1		2		1296		1620		14		7
1		5		3		3		1		2		1296		1458		13		9
2		5		3		3		1		2		2106		9396		13		6
3		5		3		3		1		2		1080		1350		13		9
4		5		3		3		1		2		1242		2538		13		8
0		5		3		3		1		3		1134		4482		14		8
